Location	Start	End	mRNA	GENE #				
Chr_01	330700	331388	ID=mRNA504	gene504	Name=wlab.246981.1_mRNA	proteinid=153	product=Mitochondrial%20Carrier%20%28MC%29%20Family	annotator=Jian%20Guo
Chr_01	332156	334211	ID=mRNA505	gene505	Name=wlab.243352.1_mRNA	proteinid=154	annotator=automatic	
Chr_01	338118	340663	ID=mRNA506	gene506	Name=wlab.243351.1_mRNA	proteinid=156	annotator=automatic	
Chr_01	341131	342066	ID=mRNA507	gene507	Name=wlab.3342.1_mRNA	proteinid=157	annotator=automatic	
Chr_01	344163	345090	ID=mRNA508	gene508	Name=wlab.232434.1_mRNA	proteinid=159	annotator=automatic	
Chr_01	348555	350821	ID=mRNA509	gene509	Name=wlab.243340.1_mRNA	proteinid=161	annotator=automatic	
Chr_01	351873	355388	ID=mRNA510	gene510	Name=wlab.3344.1_mRNA	proteinid=162	annotator=automatic	
Chr_01	357161	361104	ID=mRNA511	gene511	Name=wlab.246984.1_mRNA	proteinid=164	annotator=automatic	
Chr_01	364262	365698	ID=mRNA512	gene512	Name=wlab.246985.1_mRNA	proteinid=166	annotator=automatic	
Chr_01	367459	369584	ID=mRNA513	gene513	Name=wlab.232429.1_mRNA	proteinid=168	annotator=automatic	
Chr_01	372241	374166	ID=mRNA514	gene514	Name=wlab.248662.1_mRNA	proteinid=170	product=DSBA%20oxidoreductase	annotator=Camille%20Poirier
Chr_01	376953	377905	ID=mRNA515	gene515	Name=wlab.3347.1_mRNA	proteinid=172	annotator=automatic	
Chr_01	379855	380491	ID=mRNA516	gene516	Name=wlab.243214.1_mRNA	proteinid=174	annotator=automatic	
Chr_01	383670	384049	ID=mRNA517	gene517	Name=wlab.246482.1_mRNA	proteinid=176	annotator=automatic	
Chr_01	387465	388814	ID=mRNA518	gene518	Name=wlab.3350.1_mRNA	proteinid=178	product=Chlorophyll%20a-b%20binding%20protein%2C%20Chloroplast%20light-harvesting%20complex%20I%20protein%20%28LHCI%20type%20II%29	annotator=Charles%20Bachy
Chr_01	389388	389862	ID=mRNA519	gene519	Name=wlab.246484.1_mRNA	proteinid=179	annotator=automatic	
Chr_01	397139	400265	ID=mRNA520	gene520	Name=wlab.243166.1_mRNA	proteinid=181	annotator=automatic	
Chr_01	403808	404829	ID=mRNA521	gene521	Name=wlab.9888.1_mRNA	proteinid=183	annotator=automatic	
Chr_01	406062	407241	ID=mRNA522	gene522	Name=wlab.3352.1_mRNA	proteinid=185	annotator=automatic	
Chr_01	409819	411592	ID=mRNA523	gene523	Name=wlab.246990.1_mRNA	proteinid=187	annotator=automatic	
Chr_01	414487	417740	ID=mRNA524	gene524	Name=wlab.243131.1_mRNA	proteinid=189	annotator=automatic	
Chr_01	420769	422437	ID=mRNA525	gene525	Name=wlab.246992.1_mRNA	proteinid=192	annotator=automatic	
Chr_01	424213	425021	ID=mRNA526	gene526	Name=wlab.246994.1_mRNA	proteinid=194	annotator=automatic	
Chr_01	427904	430766	ID=mRNA527	gene527	Name=wlab.243052.1_mRNA	proteinid=196	annotator=automatic	
Chr_01	434860	436721	ID=mRNA528	gene528	Name=wlab.232415.1_mRNA	proteinid=198	annotator=automatic	
Chr_01	441638	445650	ID=mRNA529	gene529	Name=wlab.232414.1_mRNA	proteinid=200	product=sister%20chromatid%20arm%20cohesin	annotator=Valeria%20Jimenez
Chr_01	449911	451000	ID=mRNA530	gene530	Name=wlab.38.1_mRNA	proteinid=202	annotator=automatic	
Chr_01	452529	455803	ID=mRNA531	gene531	Name=wlab.232411.1_mRNA	proteinid=204	annotator=automatic	
Chr_01	458135	461317	ID=mRNA532	gene532	Name=wlab.246997.1_mRNA	proteinid=206	annotator=automatic	
Chr_01	462488	464100	ID=mRNA533	gene533	Name=wlab.232408.1_mRNA	proteinid=208	annotator=automatic	
Chr_01	468394	469987	ID=mRNA534	gene534	Name=wlab.232404.1_mRNA	proteinid=210	annotator=automatic	
Chr_01	473638	477237	ID=mRNA535	gene535	Name=wlab.232405.1_mRNA	proteinid=213	product=Glycosyl%20transferase%20Family%2020%20protein	annotator=Jeltje%20van%20Baren
Chr_01	477469	479938	ID=mRNA536	gene536	Name=wlab.247001.1_mRNA	proteinid=214	product=Flagellar%20Outer%20Dynein%20Arm%20Light%20Chain%208	annotator=Valeria%20Jimenez
Chr_01	482750	483869	ID=mRNA537	gene537	Name=wlab.247002.1_mRNA	proteinid=217	annotator=automatic	
Chr_01	484829	486674	ID=mRNA538	gene538	Name=wlab.243021.1_mRNA	proteinid=219	product=Nitrate%20Transporter%202.1	annotator=Valeria%20Jimenez
Chr_01	490442	494523	ID=mRNA539	gene539	Name=wlab.243008.1_mRNA	proteinid=221	product=Nitrite%20Reductase	annotator=Valeria%20Jimenez
Chr_01	496147	500827	ID=mRNA540	gene540	Name=wlab.247005.1_mRNA	proteinid=222	product=Nitrate%20Reductase	annotator=Valeria%20Jimenez
Chr_01	503168	504237	ID=mRNA541	gene541	Name=wlab.242991.1_mRNA	proteinid=224	product=Nitrate%20high-affinity%20transporter%202.2%20-%20accessory%20protein	annotator=Valeria%20Jimenez
Chr_01	508674	514452	ID=mRNA542	gene542	Name=wlab.242985.1_mRNA	proteinid=226	annotator=automatic	
Chr_01	516009	517277	ID=mRNA543	gene543	Name=wlab.3362.1_mRNA	proteinid=227	annotator=automatic	
Chr_01	518206	520125	ID=mRNA544	gene544	Name=wlab.247006.1_mRNA	proteinid=229	product=Ammonium%20Transporter%201.3	annotator=Valeria%20Jimenez
Chr_01	524067	524927	ID=mRNA545	gene545	Name=wlab.21934.1_mRNA	proteinid=231	annotator=automatic	
Chr_01	527795	529032	ID=mRNA546	gene546	Name=wlab.247008.1_mRNA	proteinid=233	annotator=automatic	
Chr_01	534446	536552	ID=mRNA547	gene547	Name=wlab.2.1_mRNA	proteinid=235	product=Phosphoglucomutase	annotator=Charles%20Bachy
Chr_01	538929	540168	ID=mRNA548	gene548	Name=wlab.232392.1_mRNA	proteinid=237	annotator=automatic	
Chr_01	543750	545162	ID=mRNA549	gene549	Name=wlab.232390.1_mRNA	proteinid=240	annotator=automatic	
Chr_01	549570	551380	ID=mRNA550	gene550	Name=wlab.242899.1_mRNA	proteinid=243	annotator=automatic	
Chr_01	556351	560656	ID=mRNA551	gene551	Name=wlab.247011.1_mRNA	proteinid=246	annotator=automatic	
Chr_01	562814	563743	ID=mRNA552	gene552	Name=wlab.247012.1_mRNA	proteinid=248	annotator=automatic	
Chr_01	565245	566798	ID=mRNA553	gene553	Name=wlab.2878.1_mRNA	proteinid=250	annotator=automatic	
Chr_01	572384	574056	ID=mRNA554	gene554	Name=wlab.232383.1_mRNA	proteinid=253	product=component%20of%20dynein%20regulatory%20complex%20of%20flagellar%20axoneme%2C%20PF2-like	annotator=Valeria%20Jimenez
Chr_01	579858	581260	ID=mRNA555	gene555	Name=wlab.3367.1_mRNA	proteinid=257	annotator=automatic	
Chr_01	581364	582716	ID=mRNA556	gene556	Name=wlab.242833.1_mRNA	proteinid=258	annotator=automatic	
Chr_01	583738	584887	ID=mRNA557	gene557	Name=wlab.43.1_mRNA	proteinid=260	annotator=automatic	
Chr_01	587445	589858	ID=mRNA558	gene558	Name=wlab.242814.1_mRNA	proteinid=262	annotator=automatic	
Chr_01	592123	593385	ID=mRNA559	gene559	Name=wlab.3370.1_mRNA	proteinid=265	annotator=automatic	
Chr_01	596287	598439	ID=mRNA560	gene560	Name=wlab.232377.1_mRNA	proteinid=267	product=Thioredoxin-disulfide%20reductase	annotator=Camille%20Poirier
Chr_01	598661	600721	ID=mRNA561	gene561	Name=wlab.2697.1_mRNA	proteinid=268	annotator=automatic	
Chr_01	601292	603869	ID=mRNA562	gene562	Name=wlab.247015.1_mRNA	proteinid=269	annotator=automatic	
Chr_01	605655	607320	ID=mRNA563	gene563	Name=wlab.247016.1_mRNA	proteinid=271	annotator=automatic	
Chr_01	608282	610644	ID=mRNA564	gene564	Name=wlab.232375.1_mRNA	proteinid=272	annotator=automatic	
Chr_01	612159	614783	ID=mRNA565	gene565	Name=wlab.248541.1_mRNA	proteinid=274	annotator=automatic	
Chr_01	614827	615481	ID=mRNA566	gene566	Name=wlab.246499.1_mRNA	proteinid=275	annotator=automatic	
Chr_01	615689	617420	ID=mRNA567	gene567	Name=wlab.3373.1_mRNA	proteinid=276	annotator=automatic	
Chr_01	619752	620992	ID=mRNA568	gene568	Name=wlab.247019.1_mRNA	proteinid=278	annotator=automatic	
Chr_01	621830	622669	ID=mRNA569	gene569	Name=wlab.247021.1_mRNA	proteinid=279	annotator=automatic	
Chr_01	622670	624866	ID=mRNA570	gene570	Name=wlab.247020.1_mRNA	proteinid=280	annotator=automatic	
Chr_01	625996	626202	ID=mRNA571	gene571	Name=EuGene.0100010275_mRNA	proteinid=10531	annotator=Alexandra%20Worden	
Chr_01	626753	649617	ID=mRNA572	gene572	Name=wlab.247022.1_mRNA	proteinid=281	annotator=automatic	
Chr_01	649713	651218	ID=mRNA573	gene573	Name=wlab.242775.1_mRNA	proteinid=282	annotator=automatic	
Chr_01	653693	655445	ID=mRNA574	gene574	Name=wlab.232367.1_mRNA	proteinid=284	annotator=automatic	
Chr_01	659125	660137	ID=mRNA575	gene575	Name=wlab.21966.1_mRNA	proteinid=286	annotator=automatic	
Chr_01	661290	665514	ID=mRNA576	gene576	Name=wlab.247023.1_mRNA	proteinid=288	product=1%2C4-a-glucan%20branching%20enzyme	annotator=Charles%20Bachy
Chr_01	665587	666051	ID=mRNA577	gene577	Name=wlab.246502.1_mRNA	proteinid=289	annotator=automatic	
Chr_01	668892	670989	ID=mRNA578	gene578	Name=wlab.242748.1_mRNA	proteinid=291	product=ADP-glucose%20pyrophosphorylase%20large%20subunit	annotator=Charles%20Bachy
Chr_01	671187	671630	ID=mRNA579	gene579	Name=wlab.246505.1_mRNA	proteinid=292	annotator=automatic	
Chr_01	675063	678154	ID=mRNA580	gene580	Name=wlab.3377.1_mRNA	proteinid=294	product=Bardet-Biedl%20Syndrome%209	annotator=Valeria%20Jimenez
Chr_01	679420	681643	ID=mRNA581	gene581	Name=wlab.242743.1_mRNA	proteinid=295	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	683536	684012	ID=mRNA582	gene582	Name=wlab.46.1_mRNA	proteinid=297	annotator=automatic	
Chr_01	685990	688394	ID=mRNA583	gene583	Name=wlab.232360.1_mRNA	proteinid=299	annotator=automatic	
Chr_01	688475	688705	ID=mRNA584	gene584	Name=wlab.246507.1_mRNA	proteinid=300	annotator=automatic	
Chr_01	694717	696024	ID=mRNA585	gene585	Name=wlab.247028.1_mRNA	proteinid=303	annotator=automatic	
Chr_01	698003	699399	ID=mRNA586	gene586	Name=wlab.247029.1_mRNA	proteinid=305	annotator=automatic	
Chr_01	700025	700441	ID=mRNA587	gene587	Name=wlab.247030.1_mRNA	proteinid=306	annotator=automatic	
Chr_01	707078	709180	ID=mRNA588	gene588	Name=wlab.246509.1_mRNA	proteinid=309	annotator=automatic	
Chr_01	709904	710844	ID=mRNA589	gene589	Name=wlab.247031.1_mRNA	proteinid=310	annotator=automatic	
Chr_01	713569	716421	ID=mRNA590	gene590	Name=wlab.247033.1_mRNA	proteinid=312	annotator=automatic	
Chr_01	722148	723833	ID=mRNA591	gene591	Name=wlab.247035.1_mRNA	proteinid=315	annotator=automatic	
Chr_01	729658	731998	ID=mRNA592	gene592	Name=wlab.246516.1_mRNA	proteinid=317	annotator=automatic	
Chr_01	733317	734821	ID=mRNA593	gene593	Name=wlab.246517.1_mRNA	proteinid=319	annotator=automatic	
Chr_01	735322	736968	ID=mRNA594	gene594	Name=wlab.246519.1_mRNA	proteinid=320	annotator=automatic	
Chr_01	738972	741674	ID=mRNA595	gene595	Name=wlab.247038.1_mRNA	proteinid=322	annotator=automatic	
Chr_01	743104	745767	ID=mRNA596	gene596	Name=wlab.247042.1_mRNA	proteinid=324	annotator=automatic	
Chr_01	754898	755465	ID=mRNA597	gene597	Name=wlab.246524.1_mRNA	proteinid=328	annotator=automatic	
Chr_01	757224	759293	ID=mRNA598	gene598	Name=wlab.247045.1_mRNA	proteinid=329	annotator=automatic	
Chr_01	763123	765236	ID=mRNA599	gene599	Name=wlab.247048.1_mRNA	proteinid=331	annotator=automatic	
Chr_01	770035	771744	ID=mRNA600	gene600	Name=wlab.246527.1_mRNA	proteinid=333	annotator=automatic	
Chr_01	774897	778798	ID=mRNA601	gene601	Name=wlab.246530.1_mRNA	proteinid=335	annotator=automatic	
Chr_01	787049	789151	ID=mRNA602	gene602	Name=wlab.246509.dup.1_mRNA	proteinid=338	annotator=automatic	
Chr_01	789875	790815	ID=mRNA603	gene603	Name=wlab.247031.dup.1_mRNA	proteinid=339	annotator=automatic	
Chr_01	793540	796392	ID=mRNA604	gene604	Name=wlab.247033.dup.1_mRNA	proteinid=341	product=Glutamyl-tRNA%20synthetase%2C%20%28GTS%29	annotator=Charles%20Bachy
Chr_01	802119	803804	ID=mRNA605	gene605	Name=wlab.247035.dup.1_mRNA	proteinid=344	annotator=automatic	
Chr_01	809629	811969	ID=mRNA606	gene606	Name=wlab.246516.dup.1_mRNA	proteinid=346	annotator=automatic	
Chr_01	813288	814792	ID=mRNA607	gene607	Name=wlab.246517.dup.1_mRNA	proteinid=348	annotator=automatic	
Chr_01	815293	816939	ID=mRNA608	gene608	Name=wlab.246519.dup.1_mRNA	proteinid=349	annotator=automatic	
Chr_01	818943	821645	ID=mRNA609	gene609	Name=wlab.247038.dup.1_mRNA	proteinid=351	annotator=automatic	
Chr_01	823075	825738	ID=mRNA610	gene610	Name=wlab.247042.dup.1_mRNA	proteinid=353	annotator=automatic	
Chr_01	830399	830988	ID=mRNA611	gene611	Name=est_orfs.Chr_01_1268_3201401:1_mRNA	proteinid=10594	annotator=Alexandra%20Worden	
Chr_01	834869	835436	ID=mRNA612	gene612	Name=wlab.246524.dup.1_mRNA	proteinid=357	annotator=automatic	
Chr_01	837195	839264	ID=mRNA613	gene613	Name=wlab.247045.dup.1_mRNA	proteinid=358	annotator=automatic	
Chr_01	843094	845207	ID=mRNA614	gene614	Name=wlab.247048.dup.1_mRNA	proteinid=360	annotator=automatic	
Chr_01	850006	851715	ID=mRNA615	gene615	Name=wlab.246527.dup.1_mRNA	proteinid=362	annotator=automatic	
Chr_01	854868	858769	ID=mRNA616	gene616	Name=wlab.246530.dup.1_mRNA	proteinid=364	annotator=automatic	
Chr_01	861134	862353	ID=mRNA617	gene617	Name=wlab.48.1_mRNA	proteinid=366	annotator=automatic	
Chr_01	863731	865540	ID=mRNA618	gene618	Name=wlab.17110.1_mRNA	proteinid=368	product=Porphobilinogen%20deaminase%2C%20%28PBGD%29	annotator=Charles%20Bachy
Chr_01	867972	868812	ID=mRNA619	gene619	Name=wlab.242553.1_mRNA	proteinid=370	annotator=automatic	
Chr_01	871874	875515	ID=mRNA620	gene620	Name=wlab.247052.1_mRNA	proteinid=372	annotator=automatic	
Chr_01	879613	880753	ID=mRNA621	gene621	Name=wlab.247053.1_mRNA	proteinid=375	annotator=automatic	
Chr_01	883684	887293	ID=mRNA622	gene622	Name=wlab.18938.1_mRNA	proteinid=377	annotator=automatic	
Chr_01	892808	894942	ID=mRNA623	gene623	Name=wlab.22018.1_mRNA	proteinid=379	annotator=automatic	
Chr_01	895968	898493	ID=mRNA624	gene624	Name=wlab.247054.1_mRNA	proteinid=380	product=4-a-glucanotransferase	annotator=Charles%20Bachy
Chr_01	902368	902912	ID=mRNA625	gene625	Name=wlab.247056.1_mRNA	proteinid=382	annotator=automatic	
Chr_01	905572	907053	ID=mRNA626	gene626	Name=wlab.247059.1_mRNA	proteinid=385	annotator=automatic	
Chr_01	907877	908367	ID=mRNA627	gene627	Name=wlab.246557.1_mRNA	proteinid=386	annotator=automatic	
Chr_01	910613	912062	ID=mRNA628	gene628	Name=wlab.232333.1_mRNA	proteinid=388	annotator=automatic	
Chr_01	912433	915063	ID=mRNA629	gene629	Name=wlab.247060.1_mRNA	proteinid=389	annotator=automatic	
Chr_01	917509	920051	ID=mRNA630	gene630	Name=wlab.247061.1_mRNA	proteinid=391	annotator=automatic	
Chr_01	922530	923101	ID=mRNA631	gene631	Name=wlab.232330.1_mRNA	proteinid=393	annotator=automatic	
Chr_01	923933	925504	ID=mRNA632	gene632	Name=wlab.247063.1_mRNA	proteinid=395	annotator=automatic	
Chr_01	929732	930539	ID=mRNA633	gene633	Name=wlab.247065.1_mRNA	proteinid=397	annotator=automatic	
Chr_01	932498	934885	ID=mRNA634	gene634	Name=wlab.232324.1_mRNA	proteinid=399	annotator=automatic	
Chr_01	941410	947442	ID=mRNA635	gene635	Name=wlab.232326.1_mRNA	proteinid=401	annotator=automatic	
Chr_01	947452	948706	ID=mRNA636	gene636	Name=wlab.3419.1_mRNA	proteinid=402	annotator=automatic	
Chr_01	950862	954388	ID=mRNA637	gene637	Name=wlab.247067.1_mRNA	proteinid=404	annotator=automatic	
Chr_01	956202	957469	ID=mRNA638	gene638	Name=wlab.3422.1_mRNA	proteinid=406	annotator=automatic	
Chr_01	959250	959507	ID=mRNA639	gene639	Name=EuGene.0100010405_mRNA	proteinid=10648	annotator=Alexandra%20Worden	
Chr_01	961749	964597	ID=mRNA640	gene640	Name=wlab.242384.1_mRNA	proteinid=408	product=NAD%20dependent%20malate%20dehydrogenase%20%28oxaloacetate%20decarboxylating%29	annotator=Susanne%20Wilken
Chr_01	966516	968465	ID=mRNA641	gene641	Name=wlab.247069.1_mRNA	proteinid=410	annotator=automatic	
Chr_01	973097	975664	ID=mRNA642	gene642	Name=wlab.242380.1_mRNA	proteinid=413	annotator=automatic	
Chr_01	979125	980277	ID=mRNA643	gene643	Name=wlab.1229.1_mRNA	proteinid=415	annotator=automatic	
Chr_01	981855	984640	ID=mRNA644	gene644	Name=wlab.247070.1_mRNA	proteinid=417	annotator=automatic	
Chr_01	988349	990860	ID=mRNA645	gene645	Name=wlab.3429.1_mRNA	proteinid=419	annotator=automatic	
Chr_01	992605	993576	ID=mRNA646	gene646	Name=wlab.232313.1_mRNA	proteinid=421	annotator=automatic	
Chr_01	997090	1001327	ID=mRNA647	gene647	Name=wlab.247073.1_mRNA	proteinid=424	annotator=automatic	
Chr_01	1001657	1004529	ID=mRNA648	gene648	Name=wlab.232310.1_mRNA	proteinid=425	product=flagellar%20Inner%20dynein%20arm%20I1%20intermediate%20chain	annotator=Valeria%20Jimenez
Chr_01	1005347	1008677	ID=mRNA649	gene649	Name=wlab.247075.1_mRNA	proteinid=426	annotator=automatic	
Chr_01	1013755	1016895	ID=mRNA650	gene650	Name=wlab.232308.1_mRNA	proteinid=429	annotator=automatic	
Chr_01	1022620	1024073	ID=mRNA651	gene651	Name=wlab.247077.1_mRNA	proteinid=432	annotator=automatic	
Chr_01	1025099	1026205	ID=mRNA652	gene652	Name=wlab.242188.1_mRNA	proteinid=433	annotator=automatic	
Chr_01	1026481	1027886	ID=mRNA653	gene653	Name=wlab.232303.1_mRNA	proteinid=434	annotator=automatic	
Chr_01	1030162	1032976	ID=mRNA654	gene654	Name=wlab.247078.1_mRNA	proteinid=436	annotator=automatic	
Chr_01	1035954	1036656	ID=mRNA655	gene655	Name=wlab.247081.1_mRNA	proteinid=438	annotator=automatic	
Chr_01	1038512	1038715	ID=mRNA656	gene656	Name=EuGene.0100010439_mRNA	proteinid=10681	annotator=Alexandra%20Worden	
Chr_01	1039551	1041339	ID=mRNA657	gene657	Name=wlab.3437.1_mRNA	proteinid=441	annotator=automatic	
Chr_01	1045234	1046967	ID=mRNA658	gene658	Name=wlab.247083.1_mRNA	proteinid=443	annotator=automatic	
Chr_01	1048133	1049685	ID=mRNA659	gene659	Name=wlab.247085.1_mRNA	proteinid=445	annotator=automatic	
Chr_01	1053739	1055899	ID=mRNA660	gene660	Name=wlab.232568.1_mRNA	proteinid=447	annotator=automatic	
Chr_01	1059286	1061556	ID=mRNA661	gene661	Name=wlab.247087.1_mRNA	proteinid=449	product=D-3-phosphoglycerate%20dehydrogenase	annotator=Chang%20Jae%20Choi
Chr_01	1062729	1064464	ID=mRNA662	gene662	Name=wlab.2562.1_mRNA	proteinid=450	annotator=automatic	
Chr_01	1067181	1070183	ID=mRNA663	gene663	Name=wlab.230406.1_mRNA	proteinid=452	annotator=automatic	
Chr_01	1072339	1074529	ID=mRNA664	gene664	Name=wlab.247089.1_mRNA	proteinid=454	annotator=automatic	
Chr_01	1080825	1084450	ID=mRNA665	gene665	Name=wlab.247092.1_mRNA	proteinid=456	annotator=automatic	
Chr_01	1085887	1086756	ID=mRNA666	gene666	Name=wlab.248907.1_mRNA	proteinid=458	annotator=automatic	
Chr_01	1093713	1097001	ID=mRNA667	gene667	Name=wlab.232291.1_mRNA	proteinid=461	annotator=automatic	
Chr_01	1098731	1103665	ID=mRNA668	gene668	Name=wlab.247097.1_mRNA	proteinid=463	annotator=automatic	
Chr_01	1104477	1106189	ID=mRNA669	gene669	Name=wlab.247099.1_mRNA	proteinid=465	annotator=automatic	
Chr_01	1107503	1110045	ID=mRNA670	gene670	Name=wlab.241686.1_mRNA	proteinid=467	annotator=automatic	
Chr_01	1112614	1116379	ID=mRNA671	gene671	Name=wlab.247101.1_mRNA	proteinid=469	annotator=automatic	
Chr_01	1117935	1119869	ID=mRNA672	gene672	Name=wlab.247103.1_mRNA	proteinid=471	annotator=automatic	
Chr_01	1123403	1131766	ID=mRNA673	gene673	Name=wlab.247104.1_mRNA	proteinid=473	annotator=automatic	
Chr_01	1138393	1140506	ID=mRNA674	gene674	Name=wlab.241625.1_mRNA	proteinid=476	annotator=automatic	
Chr_01	1140617	1142595	ID=mRNA675	gene675	Name=wlab.247105.1_mRNA	proteinid=477	annotator=automatic	
Chr_01	1143559	1144376	ID=mRNA676	gene676	Name=wlab.241624.1_mRNA	proteinid=478	annotator=automatic	
Chr_01	1150777	1152554	ID=mRNA677	gene677	Name=wlab.3448.1_mRNA	proteinid=481	annotator=automatic	
Chr_01	1154161	1155337	ID=mRNA678	gene678	Name=wlab.247107.1_mRNA	proteinid=483	annotator=automatic	
Chr_01	1155851	1158072	ID=mRNA679	gene679	Name=wlab.232277.1_mRNA	proteinid=484	annotator=automatic	
Chr_01	1159018	1162288	ID=mRNA680	gene680	Name=wlab.232276.1_mRNA	proteinid=485	annotator=automatic	
Chr_01	1164265	1166896	ID=mRNA681	gene681	Name=wlab.241609.1_mRNA	proteinid=487	annotator=automatic	
Chr_01	1169353	1170613	ID=mRNA682	gene682	Name=wlab.241569.1_mRNA	proteinid=489	product=Mid-like%20protein	annotator=Jae-Hyeok%20Lee
Chr_01	1173362	1174384	ID=mRNA683	gene683	Name=wlab.232272.1_mRNA	proteinid=491	annotator=automatic	
Chr_01	1179497	1180216	ID=mRNA684	gene684	Name=wlab.247112.1_mRNA	proteinid=494	annotator=automatic	
Chr_01	1185712	1188619	ID=mRNA685	gene685	Name=wlab.247114.1_mRNA	proteinid=497	annotator=automatic	
Chr_01	1190159	1192613	ID=mRNA686	gene686	Name=wlab.248906.1_mRNA	proteinid=500	annotator=automatic	
Chr_01	1199361	1200907	ID=mRNA687	gene687	Name=wlab.17163.1_mRNA	proteinid=504	annotator=automatic	
Chr_01	1205232	1206007	ID=mRNA688	gene688	Name=wlab.247119.1_mRNA	proteinid=506	product=Type%20II%20%28General%29%20Secretory%20Pathway%20%28IISP%29%20Family	annotator=Jian%20Guo
Chr_01	1210597	1211775	ID=mRNA689	gene689	Name=wlab.1199.1_mRNA	proteinid=508	annotator=automatic	
Chr_01	1213620	1215573	ID=mRNA690	gene690	Name=wlab.247122.1_mRNA	proteinid=510	product=Protoporphyrin%20IX%20Magnesium-chelatase%20subunit%20I	annotator=Charles%20Bachy
Chr_01	1220446	1223221	ID=mRNA691	gene691	Name=wlab.19094.1_mRNA	proteinid=512	annotator=automatic	
Chr_01	1225357	1226519	ID=mRNA692	gene692	Name=wlab.17169.1_mRNA	proteinid=514	annotator=automatic	
Chr_01	1227702	1230410	ID=mRNA693	gene693	Name=wlab.232265.1_mRNA	proteinid=515	product=methyl%20methanesulfonate-sensitive%20UV-sensitive%2081%2C%20ERCC4-like%20protein.	annotator=Valeria%20Jimenez
Chr_01	1236780	1240657	ID=mRNA694	gene694	Name=wlab.248720.1_mRNA	proteinid=518	annotator=automatic	
Chr_01	1244664	1246583	ID=mRNA695	gene695	Name=wlab.247125.1_mRNA	proteinid=520	annotator=automatic	
Chr_01	1249007	1251844	ID=mRNA696	gene696	Name=wlab.22113.1_mRNA	proteinid=521	annotator=automatic	
Chr_01	1255345	1256071	ID=mRNA697	gene697	Name=wlab.247127.1_mRNA	proteinid=523	annotator=automatic	
Chr_01	1256078	1256365	ID=mRNA698	gene698	Name=EuGene.0100010533_mRNA	proteinid=10764	annotator=Alexandra%20Worden	
Chr_01	1257091	1299540	ID=mRNA699	gene699	Name=wlab.10048.1_mRNA	proteinid=524	annotator=automatic	
Chr_01	1301773	1303103	ID=mRNA700	gene700	Name=wlab.232259.1_mRNA	proteinid=526	product=Uroporphyrinogen%20decarboxylase%2C%20%28UROD1%29	annotator=Charles%20Bachy
Chr_01	1305554	1307346	ID=mRNA701	gene701	Name=wlab.247128.1_mRNA	proteinid=528	annotator=automatic	
Chr_01	1310270	1310834	ID=mRNA702	gene702	Name=wlab.247130.1_mRNA	proteinid=530	annotator=automatic	
Chr_01	1312306	1314177	ID=mRNA703	gene703	Name=wlab.247132.1_mRNA	proteinid=532	product=ALBINO3	annotator=Charles%20Bachy
Chr_01	1316072	1322113	ID=mRNA704	gene704	Name=wlab.232594.1_mRNA	proteinid=534	product=Glycosyltransferase%20Family%2024%20protein	annotator=Jeltje%20van%20Baren
Chr_01	1322921	1327711	ID=mRNA705	gene705	Name=wlab.240669.1_mRNA	proteinid=535	annotator=automatic	
Chr_01	1329858	1330519	ID=mRNA706	gene706	Name=wlab.247134.1_mRNA	proteinid=537	annotator=automatic	
Chr_01	1334871	1337061	ID=mRNA707	gene707	Name=wlab.247136.1_mRNA	proteinid=540	annotator=automatic	
Chr_01	1338788	1341337	ID=mRNA708	gene708	Name=wlab.232256.1_mRNA	proteinid=541	annotator=automatic	
Chr_01	1343068	1344364	ID=mRNA709	gene709	Name=wlab.247137.1_mRNA	proteinid=543	annotator=automatic	
Chr_01	1346003	1347432	ID=mRNA710	gene710	Name=wlab.247138.1_mRNA	proteinid=544	annotator=automatic	
Chr_01	1348658	1350532	ID=mRNA711	gene711	Name=wlab.19135.1_mRNA	proteinid=545	annotator=automatic	
Chr_01	1357080	1358053	ID=mRNA712	gene712	Name=wlab.247139.1_mRNA	proteinid=548	annotator=automatic	
Chr_01	1360579	1362353	ID=mRNA713	gene713	Name=wlab.247140.1_mRNA	proteinid=550	annotator=automatic	
Chr_01	1369322	1370319	ID=mRNA714	gene714	Name=wlab.232247.1_mRNA	proteinid=552	annotator=automatic	
Chr_01	1372287	1374753	ID=mRNA715	gene715	Name=wlab.232246.1_mRNA	proteinid=554	product=HlyC%2FCorC%20%28HCC%29%20Family	annotator=Jian%20Guo
Chr_01	1376755	1378434	ID=mRNA716	gene716	Name=wlab.232245.1_mRNA	proteinid=555	annotator=automatic	
Chr_01	1379115	1383414	ID=mRNA717	gene717	Name=wlab.247143.1_mRNA	proteinid=557	annotator=automatic	
Chr_01	1386770	1388110	ID=mRNA718	gene718	Name=wlab.232244.1_mRNA	proteinid=559	annotator=automatic	
Chr_01	1390205	1391885	ID=mRNA719	gene719	Name=wlab.240378.1_mRNA	proteinid=561	annotator=automatic	
Chr_01	1395010	1396159	ID=mRNA720	gene720	Name=wlab.247146.1_mRNA	proteinid=564	annotator=automatic	
Chr_01	1398440	1400498	ID=mRNA721	gene721	Name=wlab.247148.1_mRNA	proteinid=566	annotator=automatic	
