Gene ID	Worden ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
jgi|MicpuN3v2|1656|wlab.230841.1	wlab.230841	N	N	N	CBM18	N	1
jgi|MicpuN3v2|16|wlab.3291.1	wlab.3291	N	N	N	GT22	N	1
jgi|MicpuN3v2|1827|wlab.233942.1	wlab.233942	N	N	N	CBM18	N	1
jgi|MicpuN3v2|1831|wlab.244782.1	wlab.244782	N	N	N	GT47	N	1
jgi|MicpuN3v2|2199|wlab.4230.1	wlab.4230	N	N	N	GT4	N	1
jgi|MicpuN3v2|2213|wlab.233668.1	wlab.233668	N	N	N	GT7	N	1
jgi|MicpuN3v2|2276|wlab.233973.1	wlab.233973	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|2289|wlab.233611.1	wlab.233611	N	N	N	GH6	N	1
jgi|MicpuN3v2|237|wlab.232392.1	wlab.232392	N	N	N	CBM48	N	1
jgi|MicpuN3v2|2383|wlab.233540.1	wlab.233540	N	N	N	GT0	N	1
jgi|MicpuN3v2|2402|wlab.22939.1	wlab.22939	N	N	N	GH3	N	1
jgi|MicpuN3v2|2521|wlab.233436.1	wlab.233436	N	N	N	GT8	N	1
jgi|MicpuN3v2|2582|wlab.247493.1	wlab.247493	N	N	N	GT68	N	1
jgi|MicpuN3v2|267|wlab.232377.1	wlab.232377	N	N	N	AA17	N	1
jgi|MicpuN3v2|2894|wlab.247545.1	wlab.247545	N	N	N	GT2	N	1
jgi|MicpuN3v2|2925|wlab.234397.1	wlab.234397	N	N	N	GT13	N	1
jgi|MicpuN3v2|2948|wlab.23175.1	wlab.23175	N	N	N	GT2	N	1
jgi|MicpuN3v2|299|wlab.232360.1	wlab.232360	N	N	N	CE8	N	1
jgi|MicpuN3v2|307|wlab.232356.1	wlab.232356	N	N	N	GT2	N	1
jgi|MicpuN3v2|312|wlab.247033.1	wlab.247033	N	N	N	GT22	N	1
jgi|MicpuN3v2|3205|wlab.234196.1	wlab.234196	N	N	N	GT2	N	1
jgi|MicpuN3v2|3248|wlab.234163.1	wlab.234163	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|3362|wlab.234090.1	wlab.234090	N	N	N	GH84	N	1
jgi|MicpuN3v2|336|wlab.232356.dup.1	wlab.232356.dup	N	N	N	GT2	N	1
jgi|MicpuN3v2|3386|wlab.234072.1	wlab.234072	N	N	N	GH3	N	1
jgi|MicpuN3v2|341|wlab.247033.dup.1	wlab.247033.dup	N	N	N	GT22	N	1
jgi|MicpuN3v2|3608|wlab.235045.1	wlab.235045	N	N	N	GH16_20	N	1
jgi|MicpuN3v2|3696|wlab.234985.1	wlab.234985	N	N	N	GT4	Y(1-24)	1
jgi|MicpuN3v2|377|wlab.18938.1	wlab8938	N	N	N	CE8	N	1
jgi|MicpuN3v2|4000|wlab.234757.1	wlab.234757	N	N	N	GT47+GT64	N	1
jgi|MicpuN3v2|4050|wlab.234720.1	wlab.234720	N	N	N	GH72	N	1
jgi|MicpuN3v2|4080|wlab.247653.1	wlab.247653	N	N	N	CBM43	N	1
jgi|MicpuN3v2|408|wlab.242384.1	wlab.242384	N	N	N	GT4	N	1
jgi|MicpuN3v2|4178|wlab.234645.1	wlab.234645	N	N	N	PL1_1	N	1
jgi|MicpuN3v2|4207|wlab.234623.1	wlab.234623	N	N	N	AA2	N	1
jgi|MicpuN3v2|4276|wlab.2619.1	wlab.2619	N	N	N	GT3	N	1
jgi|MicpuN3v2|4291|wlab.247746.1	wlab.247746	N	N	N	GT2	N	1
jgi|MicpuN3v2|4427|wlab.5233.1	wlab.5233	N	N	N	GT68	N	1
jgi|MicpuN3v2|4434|wlab.235533.1	wlab.235533	N	N	N	AA2	N	1
jgi|MicpuN3v2|4453|wlab.247777.1	wlab.247777	N	N	N	AA2	N	1
jgi|MicpuN3v2|446|wlab.10422.1	wlab0422	N	N	N	GT4	Y(1-21)	1
jgi|MicpuN3v2|4521|wlab.27839.1	wlab.27839	N	N	N	GH89	Y(1-22)	1
jgi|MicpuN3v2|4722|wlab.235312.1	wlab.235312	N	N	N	CBM20	N	1
jgi|MicpuN3v2|4786|wlab.245141.1	wlab.245141	N	N	N	GH18	N	1
jgi|MicpuN3v2|485|wlab.232276.1	wlab.232276	N	N	N	GT4	N	1
jgi|MicpuN3v2|4866|wlab.5431.1	wlab.5431	N	N	N	GH20	N	1
jgi|MicpuN3v2|488|wlab.247109.1	wlab.247109	N	N	N	GT58	Y(1-21)	1
jgi|MicpuN3v2|4996|wlab.231509.1	wlab.231509	N	N	N	GT1	N	1
jgi|MicpuN3v2|5051|wlab.236157.1	wlab.236157	N	N	N	CBM43	N	1
jgi|MicpuN3v2|510|wlab.247122.1	wlab.247122	N	N	N	GT2	N	1
jgi|MicpuN3v2|511|wlab.17168.1	wlab7168	N	N	N	GT47+GT64	N	1
jgi|MicpuN3v2|5176|wlab.247900.1	wlab.247900	N	N	N	GH13_17	N	1
jgi|MicpuN3v2|5364|wlab.235928.1	wlab.235928	N	N	N	GT29	N	1
jgi|MicpuN3v2|5464|wlab.235853.1	wlab.235853	N	N	N	GH39	N	1
jgi|MicpuN3v2|5679|wlab.236642.1	wlab.236642	N	N	N	GT2	N	1
jgi|MicpuN3v2|5696|wlab.247972.1	wlab.247972	N	N	N	GH28	N	1
jgi|MicpuN3v2|5731|wlab.236596.1	wlab.236596	N	N	N	GH37	N	1
jgi|MicpuN3v2|5751|wlab.7974.1	wlab.7974	N	N	N	GH3	N	1
jgi|MicpuN3v2|5795|wlab.236652.1	wlab.236652	N	N	N	GT2	N	1
jgi|MicpuN3v2|5799|wlab.236558.1	wlab.236558	N	N	N	GH28	N	1
jgi|MicpuN3v2|5894|wlab.236487.1	wlab.236487	N	N	N	CBM18	N	1
jgi|MicpuN3v2|592|wlab.1204.1	wlab204	N	N	N	GH13_31	N	1
jgi|MicpuN3v2|5962|wlab.236439.1	wlab.236439	N	N	N	CBM18+GH16_19	N	1
jgi|MicpuN3v2|5970|wlab.236433.1	wlab.236433	N	N	N	CBM18	N	1
jgi|MicpuN3v2|6000|wlab.236414.1	wlab.236414	N	N	N	CBM48	N	1
jgi|MicpuN3v2|6048|wlab.236378.1	wlab.236378	N	N	N	GT83	Y(1-23)	1
jgi|MicpuN3v2|6078|wlab.236360.1	wlab.236360	N	N	N	GT68	N	1
jgi|MicpuN3v2|6118|wlab.236327.1	wlab.236327	N	N	N	GH146	N	1
jgi|MicpuN3v2|6133|wlab.236317.1	wlab.236317	N	N	N	GH5_11	Y(1-25)	1
jgi|MicpuN3v2|6223|wlab.236254.1	wlab.236254	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|623|wlab.22182.1	wlab.22182	N	N	N	GH146	N	1
jgi|MicpuN3v2|6279|wlab.237120.1	wlab.237120	N	N	N	CBM18	N	1
jgi|MicpuN3v2|6441|wlab.237010.1	wlab.237010	N	N	N	GH43_30	N	1
jgi|MicpuN3v2|6476|wlab.6240.1	wlab.6240	N	N	N	GH65	N	1
jgi|MicpuN3v2|6487|wlab.236978.1	wlab.236978	N	N	N	GH1	N	1
jgi|MicpuN3v2|6532|wlab.236944.1	wlab.236944	N	N	N	GT4	N	1
jgi|MicpuN3v2|6699|wlab.236814.1	wlab.236814	N	N	N	GH27	Y(1-22)	1
jgi|MicpuN3v2|669|wlab.248672.1	wlab.248672	N	N	N	CBM50	N	1
jgi|MicpuN3v2|6754|wlab.851.1	wlab.851	N	N	N	GH28	N	1
jgi|MicpuN3v2|677|wlab.18393.1	wlab8393	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|6846|wlab.236710.1	wlab.236710	N	N	N	GH78	N	1
jgi|MicpuN3v2|6899|wlab.237560.1	wlab.237560	N	N	N	GH13_23	N	1
jgi|MicpuN3v2|6949|wlab.237524.1	wlab.237524	N	N	N	CBM50	N	1
jgi|MicpuN3v2|7087|wlab.237420.1	wlab.237420	N	N	N	GT7	N	1
jgi|MicpuN3v2|711|wlab.247206.1	wlab.247206	N	N	N	CBM5+GH18	N	1
jgi|MicpuN3v2|7151|wlab.237374.1	wlab.237374	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|7152|wlab.237373.1	wlab.237373	N	N	N	GT106	N	1
jgi|MicpuN3v2|7195|wlab.237347.1	wlab.237347	N	N	N	CBM13+GT27	N	1
jgi|MicpuN3v2|7204|wlab.245754.1	wlab.245754	N	N	N	GT18	N	1
jgi|MicpuN3v2|7450|wlab.245558.1	wlab.245558	N	N	N	GH152	Y(1-29)	1
jgi|MicpuN3v2|7555|wlab.237960.1	wlab.237960	N	N	N	GH47	N	1
jgi|MicpuN3v2|765|wlab.232133.1	wlab.232133	N	N	N	CE8	N	1
jgi|MicpuN3v2|7701|wlab.237848.1	wlab.237848	N	N	N	GH103	N	1
jgi|MicpuN3v2|784|wlab.232099.1	wlab.232099	N	N	N	GH152	Y(1-54)	1
jgi|MicpuN3v2|7857|wlab.237733.1	wlab.237733	N	N	N	CE8	N	1
jgi|MicpuN3v2|7|wlab.232537.1	wlab.232537	N	N	N	GT1	N	1
jgi|MicpuN3v2|8069|wlab.238322.1	wlab.238322	N	N	N	GT29	N	1
jgi|MicpuN3v2|8146|wlab.246114.1	wlab.246114	N	N	N	AA5	N	1
jgi|MicpuN3v2|8174|wlab.238242.1	wlab.238242	N	N	N	CBM18	N	1
jgi|MicpuN3v2|8191|wlab.238229.1	wlab.238229	N	N	N	GT1	N	1
jgi|MicpuN3v2|8195|wlab.248243.1	wlab.248243	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|8220|wlab.238205.1	wlab.238205	N	N	N	CBM48	N	1
jgi|MicpuN3v2|826|wlab.22282.1	wlab.22282	N	N	N	GT1	N	1
jgi|MicpuN3v2|8364|wlab.238104.1	wlab.238104	N	N	N	GT66	N	1
jgi|MicpuN3v2|8472|wlab.238369.1	wlab.238369	N	N	N	CBM18	N	1
jgi|MicpuN3v2|873|wlab.22668.1	wlab.22668	N	N	N	GT90	N	1
jgi|MicpuN3v2|8779|wlab.248312.1	wlab.248312	N	N	N	GT1	N	1
jgi|MicpuN3v2|8815|wlab.238620.1	wlab.238620	N	N	N	GH85	N	1
jgi|MicpuN3v2|8931|wlab.246214.1	wlab.246214	N	N	N	GT4	N	1
jgi|MicpuN3v2|8982|wlab.25709.1	wlab.25709	N	N	N	CBM18	N	1
jgi|MicpuN3v2|8988|wlab.238745.1	wlab.238745	N	N	N	CBM48+GH13_8	N	1
jgi|MicpuN3v2|9008|wlab.238765.1	wlab.238765	N	N	N	GT29	N	1
jgi|MicpuN3v2|9033|wlab.248346.1	wlab.248346	N	N	N	CBM18	N	1
jgi|MicpuN3v2|9071|wlab.238812.1	wlab.238812	N	N	N	GH5_12	N	1
jgi|MicpuN3v2|9099|wlab.2681.1	wlab.2681	N	N	N	GH146	N	1
jgi|MicpuN3v2|921|wlab.233221.1	wlab.233221	N	N	N	GT8	N	1
jgi|MicpuN3v2|935|wlab.22636.1	wlab.22636	N	N	N	GT13	N	1
jgi|MicpuN3v2|942|wlab.244479.1	wlab.244479	N	N	N	GT4	N	1
jgi|MicpuN3v2|944|wlab.233210.1	wlab.233210	N	N	N	GH5	N	1
jgi|MicpuN3v2|9456|wlab.239110.1	wlab.239110	N	N	N	GH51	N	1
jgi|MicpuN3v2|9460|wlab.248412.1	wlab.248412	N	N	N	CBM18	N	1
jgi|MicpuN3v2|9850|wlab.248487.1	wlab.248487	N	N	N	CBM18	N	1
jgi|MicpuN3v2|9919|wlab.29747.1	wlab.29747	N	N	N	GH28	Y(1-40)	1
jgi|MicpuN3v2|9925|wlab.246348.1	wlab.246348	N	N	N	GH3	N	1
jgi|MicpuN3v2|9968|wlab.239494.1	wlab.239494	N	N	N	GH32	Y(1-21)	1
jgi|MicpuN3v2|9982|wlab.246350.1	wlab.246350	N	N	N	GH1	N	1
