query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
jgi|MicpuN3v2|2854|wlab.234454.1	CDD:225034	34.601	263	160	3	1	262	1	252	3.95e-46	153	COG2123	J					RNase PH-related exoribonuclease
jgi|MicpuN3v2|2858|wlab.23141.1	CDD:223691	25.868	317	219	9	119	432	20	323	3.54e-38	141	COG0618	R					Exopolyphosphatase-related proteins
jgi|MicpuN3v2|285|wlab.230742.1	CDD:227609	16.800	250	183	13	675	916	66	298	3.12e-05	44.0	COG5285	Q					Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin
jgi|MicpuN3v2|2860|wlab.247541.1	CDD:223756	46.429	140	74	1	84	223	28	166	1.45e-54	171	COG0684	H					Demethylmenaquinone methyltransferase
jgi|MicpuN3v2|2862|wlab.234581.1	CDD:224522	31.416	226	114	9	70	289	1	191	3.05e-26	105	COG1606	R					ATP-utilizing enzymes of the PP-loop superfamily
jgi|MicpuN3v2|2864|wlab.234446.1	CDD:223736	22.619	168	87	6	562	713	9	149	3.45e-05	43.3	COG0664	T					cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
jgi|MicpuN3v2|2866|wlab.234444.1	CDD:223137	30.678	339	191	15	84	406	14	324	2.20e-58	195	COG0059	E	H				Ketol-acid reductoisomerase
jgi|MicpuN3v2|2867|wlab.234443.1	CDD:223677	35.556	360	183	10	26	370	1	326	2.26e-60	195	COG0604	C	R				NADPH:quinone reductase and related Zn-dependent oxidoreductases
jgi|MicpuN3v2|2868|wlab.23144.1	CDD:227371	30.208	96	61	4	270	364	1045	1135	1.33e-05	46.7	COG5038	R					Ca2+-dependent lipid-binding protein, contains C2 domain
jgi|MicpuN3v2|2870|wlab.234439.1	CDD:227223	24.667	150	98	5	22	164	141	282	6.89e-07	48.0	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|2872|wlab.234441.1	CDD:223982	31.975	319	175	7	138	453	6	285	6.21e-69	224	COG1054	R					Predicted sulfurtransferase
jgi|MicpuN3v2|2873|wlab.234438.1	CDD:223796	28.704	216	133	2	11	210	96	306	3.18e-19	86.2	COG0724	R					RNA-binding proteins (RRM domain)
jgi|MicpuN3v2|2875|wlab.234436.1	CDD:223777	27.703	148	78	2	143	289	70	189	9.37e-15	69.4	COG0705	R					Uncharacterized membrane protein (homolog of Drosophila rhomboid)
jgi|MicpuN3v2|2876|wlab.234435.1	CDD:319244	32.692	52	35	0	36	87	23	74	1.11e-08	50.1	COG5272	O					Ubiquitin
jgi|MicpuN3v2|287|wlab.232366.1	CDD:223796	25.490	102	67	3	2	102	97	190	2.45e-07	47.2	COG0724	R					RNA-binding proteins (RRM domain)
jgi|MicpuN3v2|2880|wlab.244977.1	CDD:224117	23.055	347	246	7	279	621	172	501	8.80e-11	63.2	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|2881|wlab.234582.1	CDD:223671	23.381	278	197	6	169	444	57	320	1.88e-25	103	COG0598	P					Mg2+ and Co2+ transporters
jgi|MicpuN3v2|2882|wlab.234431.1	CDD:225606	25.962	104	75	1	514	615	124	227	2.40e-04	41.5	COG3064	M					Membrane protein involved in colicin uptake
jgi|MicpuN3v2|2885|wlab.234427.1	CDD:223426	43.103	58	33	0	772	829	112	169	1.36e-09	57.7	COG0349	J					Ribonuclease D
jgi|MicpuN3v2|2886|wlab.234425.1	CDD:224117	14.391	271	218	4	65	335	238	494	1.91e-07	50.9	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|2887|wlab.234426.1	CDD:223733	29.194	459	221	17	77	519	51	421	3.19e-53	186	COG0661	R					Predicted unusual protein kinase
jgi|MicpuN3v2|2888|wlab.234424.1	CDD:225498	50.303	165	67	3	50	213	5	155	3.38e-67	201	COG2947	S					Uncharacterized conserved protein
jgi|MicpuN3v2|288|wlab.247023.1	CDD:223373	26.269	670	419	27	281	931	15	628	1.44e-111	354	COG0296	G					1,4-alpha-glucan branching enzyme
jgi|MicpuN3v2|2891|wlab.231128.1	CDD:223115	26.459	257	168	6	213	463	1	242	2.24e-36	136	COG0037	D					Predicted ATPase of the PP-loop superfamily implicated in cell cycle control
jgi|MicpuN3v2|2893|wlab.234420.1	CDD:223533	25.217	115	82	2	666	776	141	255	9.28e-05	42.1	COG0457	R					FOG: TPR repeat
jgi|MicpuN3v2|2894|wlab.247545.1	CDD:223606	52.063	509	236	5	325	829	4	508	0.0	608	COG0532	J					Translation initiation factor 2 (IF-2; GTPase)
jgi|MicpuN3v2|2897|wlab.234418.1	CDD:225421	35.897	78	49	1	242	318	147	224	6.95e-09	55.6	COG2866	E					Predicted carboxypeptidase
jgi|MicpuN3v2|2899|wlab.234416.1	CDD:223639	34.156	243	115	6	75	315	2	201	4.83e-41	144	COG0565	J					rRNA methylase
jgi|MicpuN3v2|28|wlab.232518.1	CDD:224489	39.594	197	107	4	54	241	9	202	9.80e-56	174	COG1573	L					Uracil-DNA glycosylase
jgi|MicpuN3v2|2901|wlab.23155.1	CDD:223765	29.596	223	113	6	1	222	1	180	4.03e-29	105	COG0693	R					Putative intracellular protease/amidase
jgi|MicpuN3v2|2902|wlab.234413.1	CDD:224133	32.877	292	137	6	28	319	3	235	3.23e-60	190	COG1212	M					CMP-2-keto-3-deoxyoctulosonic acid synthetase
jgi|MicpuN3v2|2913|wlab.247548.1	CDD:223589	27.574	272	168	9	772	1020	3	268	5.98e-36	138	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|2915|wlab.234404.1	CDD:226122	23.529	306	179	14	40	330	7	272	4.13e-11	61.2	COG3594	G					Fucose 4-O-acetylase and related acetyltransferases
jgi|MicpuN3v2|2918|wlab.234402.1	CDD:223736	21.898	137	96	3	480	614	8	135	2.78e-05	43.3	COG0664	T					cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
jgi|MicpuN3v2|2919|wlab.247549.1	CDD:223690	26.959	434	255	16	153	572	5	390	8.60e-54	188	COG0617	J					tRNA nucleotidyltransferase/poly(A) polymerase
jgi|MicpuN3v2|291|wlab.242748.1	CDD:223525	37.104	442	222	11	86	523	4	393	1.00e-150	434	COG0448	G					ADP-glucose pyrophosphorylase
jgi|MicpuN3v2|2922|wlab.234398.1	CDD:227455	26.000	150	88	6	765	910	24	154	8.03e-13	64.6	COG5126	T	Z	D	R		Ca2+-binding protein (EF-Hand superfamily)
jgi|MicpuN3v2|2923|wlab.234399.1	CDD:223589	28.283	297	167	11	49	328	1	268	7.39e-40	144	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|2924|wlab.23165.1	CDD:227535	37.339	233	136	3	56	281	205	434	2.20e-58	193	COG5210	R					GTPase-activating protein
jgi|MicpuN3v2|2925|wlab.234397.1	CDD:223599	46.632	965	426	14	106	1069	1	877	0.0	1170	COG0525	J					Valyl-tRNA synthetase
jgi|MicpuN3v2|2926|wlab.234396.1	CDD:223151	35.849	106	64	2	318	420	19	123	1.10e-24	95.9	COG0073	R					EMAP domain
jgi|MicpuN3v2|2927|wlab.234395.1	CDD:227520	26.974	152	88	7	44	176	45	192	7.36e-09	54.3	COG5193	O	J				La protein, small RNA-binding pol III transcript stabilizing protein and related La-motif-containing proteins involved in translation
jgi|MicpuN3v2|2928|wlab.23167.1	CDD:223220	24.290	317	216	10	59	370	25	322	6.30e-51	170	COG0142	H					Geranylgeranyl pyrophosphate synthase
jgi|MicpuN3v2|2929|wlab.234394.1	CDD:224117	21.502	293	214	3	128	419	711	988	7.31e-12	65.1	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|2930|wlab.247551.1	CDD:223574	21.164	189	125	5	73	257	13	181	8.97e-07	46.4	COG0500	Q	R				SAM-dependent methyltransferases
jgi|MicpuN3v2|2934|wlab.23170.1	CDD:223589	29.710	276	169	8	224	481	7	275	3.08e-34	132	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|2937|wlab.234389.1	CDD:223589	28.274	336	186	6	41	371	1	286	4.04e-46	160	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|2938|wlab.8251.1	CDD:223698	27.907	86	58	1	109	194	3	84	1.11e-06	45.6	COG0625	O					Glutathione S-transferase
jgi|MicpuN3v2|2939|wlab.247552.1	CDD:226095	52.593	135	61	2	22	156	6	137	1.74e-50	155	COG3565	R					Predicted dioxygenase of extradiol dioxygenase family
jgi|MicpuN3v2|293|wlab.247024.1	CDD:226477	41.102	708	357	17	67	731	32	722	0.0	568	COG3968	R					Uncharacterized protein related to glutamine synthetase
jgi|MicpuN3v2|2940|wlab.231121.1	CDD:227435	43.750	32	18	0	406	437	14	45	7.47e-05	42.0	COG5104	A					Splicing factor
jgi|MicpuN3v2|2942|wlab.234387.1	CDD:227719	25.758	66	33	3	110	175	28	77	6.66e-05	39.7	COG5432	T					RING-finger-containing E3 ubiquitin ligase
jgi|MicpuN3v2|2944|wlab.247553.1	CDD:223677	24.500	400	212	14	31	422	3	320	8.87e-37	134	COG0604	C	R				NADPH:quinone reductase and related Zn-dependent oxidoreductases
jgi|MicpuN3v2|2945|wlab.234385.1	CDD:225201	24.579	297	204	8	19	310	160	441	7.35e-26	105	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|2947|wlab.234384.1	CDD:223778	30.830	253	137	6	113	364	86	301	1.22e-49	169	COG0706	U					Preprotein translocase subunit YidC
jgi|MicpuN3v2|2948|wlab.23175.1	CDD:223641	47.379	992	426	16	80	1065	3	904	0.0	1269	COG0567	C					2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
jgi|MicpuN3v2|2949|wlab.234382.1	CDD:223560	42.647	68	36	1	4	71	3	67	1.94e-15	73.4	COG0484	O					DnaJ-class molecular chaperone with C-terminal Zn finger domain
jgi|MicpuN3v2|2954|wlab.234380.1	CDD:225201	22.539	386	237	15	422	769	54	415	6.01e-13	69.0	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|2955|wlab.234379.1	CDD:223395	23.154	596	355	23	16	597	15	521	4.11e-41	156	COG0318	I	Q				Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
jgi|MicpuN3v2|2956|wlab.234378.1	CDD:223129	39.000	100	59	2	21	119	4	102	5.12e-33	108	COG0051	J					Ribosomal protein S10
jgi|MicpuN3v2|2957|wlab.2771.1	CDD:223535	35.283	530	319	14	18	536	1	517	1.27e-162	469	COG0459	O					Chaperonin GroEL (HSP60 family)
jgi|MicpuN3v2|2959|wlab.23182.1	CDD:225214	28.302	106	37	3	266	371	115	181	3.18e-07	47.4	COG2335	M					Secreted and surface protein containing fasciclin-like repeats
jgi|MicpuN3v2|295|wlab.242743.1	CDD:227476	23.529	136	77	5	480	613	9	119	5.09e-07	49.4	COG5147	K	A	D			Myb superfamily proteins, including transcription factors and mRNA splicing factors
jgi|MicpuN3v2|2961|wlab.247555.1	CDD:224117	18.919	185	141	2	64	248	349	524	2.55e-07	51.3	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|2966|wlab.234371.1	CDD:223733	34.829	468	271	5	117	581	17	453	1.43e-110	344	COG0661	R					Predicted unusual protein kinase
jgi|MicpuN3v2|2968|wlab.234369.1	CDD:223394	27.628	409	211	10	184	591	25	349	1.87e-49	185	COG0317	T	K				Guanosine polyphosphate pyrophosphohydrolases/synthetases
jgi|MicpuN3v2|2969|wlab.247556.1	CDD:223769	20.530	302	212	5	384	677	6	287	3.73e-18	82.6	COG0697	G	E	R			Permeases of the drug/metabolite transporter (DMT) superfamily
jgi|MicpuN3v2|2970|wlab.234368.1	CDD:227354	21.340	567	301	22	2219	2753	411	864	1.82e-33	138	COG5021	O					Ubiquitin-protein ligase
jgi|MicpuN3v2|2973|wlab.234365.1	CDD:227867	24.702	336	181	15	20	352	4	270	5.83e-23	93.8	COG5580	O					Activator of HSP90 ATPase
jgi|MicpuN3v2|2974|wlab.234583.1	CDD:223444	33.333	537	310	16	1	524	1	502	1.38e-134	403	COG0367	E					Asparagine synthase (glutamine-hydrolyzing)
jgi|MicpuN3v2|2976|wlab.234363.1	CDD:223565	27.126	247	164	7	33	272	6	243	5.54e-30	112	COG0491	R					Zn-dependent hydrolases, including glyoxylases
jgi|MicpuN3v2|2978|wlab.234362.1	CDD:225371	28.324	173	122	2	180	352	9	179	1.54e-16	78.8	COG2814	G					Arabinose efflux permease
jgi|MicpuN3v2|2980|wlab.234361.1	CDD:223431	32.636	239	132	7	6	240	17	230	1.27e-35	129	COG0354	R					Predicted aminomethyltransferase related to GcvT
jgi|MicpuN3v2|2984|wlab.8258.1	CDD:223354	22.674	172	86	5	156	308	61	204	6.92e-13	68.4	COG0277	C					FAD/FMN-containing dehydrogenases
jgi|MicpuN3v2|2986|wlab.234357.1	CDD:223680	17.829	129	70	3	72	200	9	101	2.14e-05	39.9	COG0607	P					Rhodanese-related sulfurtransferase
jgi|MicpuN3v2|2988|wlab.234355.1	CDD:223738	26.619	139	95	2	38	169	45	183	2.40e-08	50.2	COG0666	R					FOG: Ankyrin repeat
jgi|MicpuN3v2|2989|wlab.234354.1	CDD:223589	24.267	375	244	10	86	441	2	355	1.17e-41	154	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|2990|wlab.234353.1	CDD:227270	26.587	252	100	12	1088	1323	338	520	5.68e-17	84.0	COG4934	O					Predicted protease
jgi|MicpuN3v2|2991|wlab.244967.1	CDD:223190	47.033	455	196	5	8	461	3	413	0.0	578	COG0112	E					Glycine/serine hydroxymethyltransferase
jgi|MicpuN3v2|2996|wlab.4595.1	CDD:223532	32.075	53	36	0	117	169	96	148	1.75e-05	41.1	COG0456	R					Acetyltransferases
jgi|MicpuN3v2|2997|wlab.234349.1	CDD:225136	23.718	156	75	7	87	241	50	162	1.18e-08	51.9	COG2226	H					Methylase involved in ubiquinone/menaquinone biosynthesis
jgi|MicpuN3v2|2999|wlab.234346.1	CDD:227535	38.693	199	107	6	26	215	217	409	1.08e-33	133	COG5210	R					GTPase-activating protein
jgi|MicpuN3v2|299|wlab.232360.1	CDD:223087	28.782	542	297	22	147	680	12	472	6.14e-101	315	COG0008	J					Glutamyl- and glutaminyl-tRNA synthetases
jgi|MicpuN3v2|3001|wlab.234345.1	CDD:223134	26.325	547	246	24	140	655	70	490	1.74e-29	120	COG0056	C					F0F1-type ATP synthase, alpha subunit
jgi|MicpuN3v2|3002|wlab.234344.1	CDD:225087	23.226	155	94	9	132	276	446	585	2.34e-04	40.0	COG2176	L					DNA polymerase III, alpha subunit (gram-positive type)
jgi|MicpuN3v2|3003|wlab.244965.1	CDD:224143	55.583	403	169	3	5	397	4	406	0.0	598	COG1222	O					ATP-dependent 26S proteasome regulatory subunit
jgi|MicpuN3v2|3004|wlab.234343.1	CDD:223537	34.715	193	123	2	11	201	6	197	9.40e-54	176	COG0461	F					Orotate phosphoribosyltransferase
jgi|MicpuN3v2|3005|wlab.234342.1	CDD:224274	31.250	304	175	7	1	295	1	279	1.72e-73	224	COG1355	R					Predicted dioxygenase
jgi|MicpuN3v2|3006|wlab.247559.1	CDD:225046	33.628	226	133	6	1	225	1	210	1.10e-47	157	COG2135	S					Uncharacterized conserved protein
jgi|MicpuN3v2|3008|wlab.244964.1	CDD:223129	60.204	98	39	0	53	150	5	102	1.81e-48	148	COG0051	J					Ribosomal protein S10
jgi|MicpuN3v2|3009|wlab.234340.1	CDD:223589	32.616	279	160	8	53	307	5	279	3.00e-51	173	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|3012|wlab.247561.1	CDD:223498	24.060	133	79	4	204	336	79	189	4.79e-12	63.5	COG0421	E					Spermidine synthase
jgi|MicpuN3v2|3014|wlab.4600.1	CDD:227470	31.771	192	117	6	698	885	181	362	2.66e-42	164	COG5141	R					PHD zinc finger-containing protein
jgi|MicpuN3v2|3016|wlab.234338.1	CDD:224675	33.784	74	49	0	7	80	18	91	1.04e-21	78.9	COG1761	K					DNA-directed RNA polymerase, subunit L
jgi|MicpuN3v2|3017|wlab.234335.1	CDD:223505	41.290	155	88	2	221	374	114	266	3.64e-39	137	COG0428	P					Predicted divalent heavy-metal cations transporter
jgi|MicpuN3v2|301|wlab.17091.1	CDD:223589	25.595	336	215	11	13	335	2	315	7.02e-54	180	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|3022|wlab.8267.1	CDD:225201	19.904	417	279	10	585	987	66	441	3.44e-26	110	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|3023|wlab.234331.1	CDD:223582	37.111	450	223	4	47	489	2	398	2.91e-94	289	COG0508	C					Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes
jgi|MicpuN3v2|3024|wlab.234330.1	CDD:224139	22.059	340	175	8	51	388	3	254	2.43e-40	142	COG1218	P					3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
jgi|MicpuN3v2|302|wlab.247027.1	CDD:226213	24.490	196	92	5	130	324	5	145	3.34e-13	64.3	COG3688	R					Predicted RNA-binding protein containing a PIN domain
jgi|MicpuN3v2|3030|wlab.247563.1	CDD:223180	47.826	115	59	1	24	137	17	131	1.72e-41	135	COG0102	J					Ribosomal protein L13
jgi|MicpuN3v2|3031|wlab.234322.1	CDD:223254	32.895	228	140	6	75	292	10	234	2.51e-43	147	COG0176	G					Transaldolase
jgi|MicpuN3v2|3037|wlab.19864.1	CDD:225371	23.288	146	95	4	222	362	73	206	6.00e-04	39.5	COG2814	G					Arabinose efflux permease
jgi|MicpuN3v2|3038|wlab.234319.1	CDD:223627	26.404	534	244	9	635	1158	471	865	1.04e-61	224	COG0553	K	L				Superfamily II DNA/RNA helicases, SNF2 family
jgi|MicpuN3v2|3041|wlab.234315.1	CDD:227392	31.648	534	293	14	21	552	23	486	5.34e-77	263	COG5059	Z					Kinesin-like protein
jgi|MicpuN3v2|3042|wlab.234311.1	CDD:224083	30.719	306	180	7	211	492	18	315	1.28e-72	236	COG1161	R					Predicted GTPases
jgi|MicpuN3v2|3044|wlab.234306.1	CDD:223284	58.361	305	125	2	51	354	12	315	4.97e-113	331	COG0206	D					Cell division GTPase
jgi|MicpuN3v2|3045|wlab.234309.1	CDD:224402	36.000	375	196	9	53	427	11	341	1.46e-94	289	COG1485	R					Predicted ATPase
jgi|MicpuN3v2|3049|wlab.234310.1	CDD:223649	37.415	147	91	1	156	302	48	193	1.34e-48	157	COG0576	O					Molecular chaperone GrpE (heat shock protein)
jgi|MicpuN3v2|304|wlab.21974.1	CDD:223738	38.346	133	75	2	56	181	75	207	2.74e-19	81.4	COG0666	R					FOG: Ankyrin repeat
jgi|MicpuN3v2|3050|wlab.234312.1	CDD:224992	33.487	433	232	15	68	489	17	404	8.59e-83	259	COG2081	R					Predicted flavoproteins
jgi|MicpuN3v2|3052|wlab.234304.1	CDD:225139	28.241	216	119	9	90	293	28	219	1.26e-15	73.4	COG2230	M					Cyclopropane fatty acid synthase and related methyltransferases
jgi|MicpuN3v2|3053|wlab.1474.1	CDD:224052	43.431	274	130	5	54	324	4	255	3.84e-100	292	COG1127	Q					ABC-type transport system involved in resistance to organic solvents, ATPase component
jgi|MicpuN3v2|3055|wlab.234302.1	CDD:227457	42.529	174	95	3	23	193	37	208	7.62e-57	175	COG5128	U					Transport protein particle (TRAPP) complex subunit
jgi|MicpuN3v2|3056|wlab.247680.1	CDD:223698	25.123	203	134	7	115	308	9	202	2.46e-29	111	COG0625	O					Glutathione S-transferase
jgi|MicpuN3v2|3057|wlab.234300.1	CDD:223697	25.056	443	281	13	7	439	5	406	5.40e-43	153	COG0624	E					Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
jgi|MicpuN3v2|3059|wlab.234298.1	CDD:223768	38.889	540	288	18	12	544	3	507	2.75e-141	415	COG0696	G					Phosphoglyceromutase
jgi|MicpuN3v2|305|wlab.247029.1	CDD:224429	20.325	246	156	11	57	288	5	224	7.10e-18	78.5	COG1512	R					Beta-propeller domains of methanol dehydrogenase type
jgi|MicpuN3v2|3062|wlab.234295.1	CDD:223479	20.909	440	318	10	23	458	5	418	3.78e-44	157	COG0402	F	R				Cytosine deaminase and related metal-dependent hydrolases
jgi|MicpuN3v2|3063|wlab.234294.1	CDD:223534	67.419	399	127	3	70	468	1	396	0.0	622	COG0458	E	F				Carbamoylphosphate synthase large subunit (split gene in MJ)
jgi|MicpuN3v2|3064|wlab.234293.1	CDD:223589	24.211	380	259	11	36	391	1	375	1.34e-47	169	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|3065|wlab.234292.1	CDD:225660	27.957	93	63	2	364	454	16	106	2.62e-08	52.4	COG3118	O					Thioredoxin domain-containing protein
jgi|MicpuN3v2|3067|wlab.234290.1	CDD:223533	23.982	221	142	3	35	252	69	266	2.79e-05	43.3	COG0457	R					FOG: TPR repeat
jgi|MicpuN3v2|3068|wlab.234289.1	CDD:223505	32.422	256	164	5	69	318	10	262	5.36e-36	128	COG0428	P					Predicted divalent heavy-metal cations transporter
jgi|MicpuN3v2|3069|wlab.234288.1	CDD:227511	19.231	442	244	9	259	696	105	437	3.57e-25	108	COG5184	D	Z				Alpha-tubulin suppressor and related RCC1 domain-containing proteins
jgi|MicpuN3v2|3075|wlab.244953.1	CDD:224025	35.106	188	108	4	10	183	7	194	2.80e-44	144	COG1100	R					GTPase SAR1 and related small G proteins
jgi|MicpuN3v2|3078|wlab.234281.1	CDD:225406	23.469	98	60	2	356	453	126	208	3.91e-04	39.7	COG2850	S					Uncharacterized conserved protein
jgi|MicpuN3v2|307|wlab.232356.1	CDD:224157	26.700	397	259	13	14	400	6	380	2.20e-55	194	COG1236	J					Predicted exonuclease of the beta-lactamase fold involved in RNA processing
jgi|MicpuN3v2|3080|wlab.247682.1	CDD:227448	24.219	128	78	3	79	187	294	421	2.02e-05	44.7	COG5118	K					Transcription initiation factor TFIIIB, Bdp1 subunit
jgi|MicpuN3v2|3081|wlab.247683.1	CDD:224117	25.126	199	145	2	42	237	317	514	3.84e-09	55.5	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|3085|wlab.234276.1	CDD:225034	37.681	276	162	6	2	274	1	269	2.84e-65	208	COG2123	J					RNase PH-related exoribonuclease
jgi|MicpuN3v2|3088|wlab.234274.1	CDD:223466	32.759	348	219	10	139	474	4	348	4.07e-70	227	COG0389	L					Nucleotidyltransferase/DNA polymerase involved in DNA repair
jgi|MicpuN3v2|3089|wlab.234273.1	CDD:223296	40.500	200	115	3	202	400	3	199	9.00e-63	200	COG0218	R					Predicted GTPase
jgi|MicpuN3v2|308|wlab.21992.1	CDD:227476	28.086	324	180	5	60	383	14	284	8.44e-45	165	COG5147	K	A	D			Myb superfamily proteins, including transcription factors and mRNA splicing factors
jgi|MicpuN3v2|3090|wlab.234272.1	CDD:223711	28.095	210	135	3	26	233	25	220	2.25e-48	156	COG0638	O					20S proteasome, alpha and beta subunits
jgi|MicpuN3v2|3092|wlab.234591.1	CDD:227414	25.243	103	53	3	15	102	81	174	4.18e-10	54.5	COG5082	O	U				Arginine methyltransferase-interacting protein, contains RING Zn-finger
jgi|MicpuN3v2|3093|wlab.234270.1	CDD:223250	41.458	439	241	7	1	436	1	426	1.87e-165	471	COG0172	J					Seryl-tRNA synthetase
jgi|MicpuN3v2|3095|wlab.234269.1	CDD:226947	32.591	1212	600	33	271	1454	18	1040	0.0	701	COG4581	L					Superfamily II RNA helicase
jgi|MicpuN3v2|3096|wlab.234268.1	CDD:223400	26.851	689	428	20	49	727	5	627	8.77e-92	297	COG0323	L					DNA mismatch repair enzyme (predicted ATPase)
jgi|MicpuN3v2|309|wlab.246509.1	CDD:225201	19.094	309	240	7	231	538	76	375	1.67e-25	106	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|30|wlab.232516.1	CDD:227387	38.129	139	75	2	46	175	45	181	8.51e-36	120	COG5054	O					Mitochondrial sulfhydryl oxidase involved in the biogenesis of cytosolic Fe/S proteins
jgi|MicpuN3v2|3100|wlab.234265.1	CDD:227470	34.054	185	116	3	200	383	183	362	1.86e-38	151	COG5141	R					PHD zinc finger-containing protein
jgi|MicpuN3v2|3101|wlab.234264.1	CDD:227408	27.193	342	217	10	143	471	38	360	2.07e-40	146	COG5076	B	K				Transcription factor involved in chromatin remodeling, contains bromodomain
jgi|MicpuN3v2|3102|wlab.247691.1	CDD:227489	21.765	170	103	9	43	202	385	534	2.41e-09	54.5	COG5160	O					Protease, Ulp1 family
jgi|MicpuN3v2|3103|wlab.234262.1	CDD:227361	21.243	692	391	27	16	680	153	717	2.94e-17	83.3	COG5028	U					Vesicle coat complex COPII, subunit SEC24/subunit SFB2/subunit SFB3
jgi|MicpuN3v2|3105|wlab.505.1	CDD:227587	78.505	107	23	0	15	121	18	124	4.02e-53	160	COG5262	B					Histone H2A
jgi|MicpuN3v2|3106|wlab.247692.1	CDD:227392	36.795	443	212	7	1	436	20	401	9.67e-93	308	COG5059	Z					Kinesin-like protein
jgi|MicpuN3v2|3107|wlab.4639.1	CDD:223420	44.681	376	182	5	88	462	1	351	1.67e-142	410	COG0343	J					Queuine/archaeosine tRNA-ribosyltransferase
jgi|MicpuN3v2|3109|wlab.234260.1	CDD:223274	29.032	279	139	17	63	313	6	253	1.59e-28	109	COG0196	H					FAD synthase
jgi|MicpuN3v2|310|wlab.247031.1	CDD:227225	34.568	81	52	1	1	80	1	81	3.38e-22	79.9	COG4888	R					Uncharacterized Zn ribbon-containing protein
jgi|MicpuN3v2|3110|wlab.2604.1	CDD:223159	53.982	226	102	2	89	313	2	226	2.99e-83	248	COG0081	J					Ribosomal protein L1
jgi|MicpuN3v2|3114|wlab.247695.1	CDD:223916	21.910	178	120	8	154	317	4	176	1.35e-06	46.8	COG0847	L					DNA polymerase III, epsilon subunit and related 3'-5' exonucleases
jgi|MicpuN3v2|3115|wlab.234256.1	CDD:227309	19.737	76	60	1	324	399	213	287	6.99e-04	38.1	COG4975	G					Putative glucose uptake permease
jgi|MicpuN3v2|3117|wlab.2773.1	CDD:227552	51.648	91	42	1	2	92	13	101	8.30e-30	99.6	COG5227	O					Ubiquitin-like protein (sentrin)
jgi|MicpuN3v2|3118|wlab.234254.1	CDD:227438	21.536	534	368	11	160	687	30	518	4.67e-68	237	COG5107	A					Pre-mRNA 3'-end processing (cleavage and polyadenylation) factor
jgi|MicpuN3v2|3122|wlab.4646.1	CDD:223420	44.533	375	182	4	90	463	1	350	1.28e-141	407	COG0343	J					Queuine/archaeosine tRNA-ribosyltransferase
jgi|MicpuN3v2|3123|wlab.7947.1	CDD:223423	25.735	136	81	5	26	141	3	138	1.77e-14	63.6	COG0346	E					Lactoylglutathione lyase and related lyases
jgi|MicpuN3v2|3124|wlab.234250.1	CDD:223544	32.632	285	166	8	66	342	1	267	2.45e-73	226	COG0468	L					RecA/RadA recombinase
jgi|MicpuN3v2|3128|wlab.234248.1	CDD:225002	27.841	176	106	4	43	218	19	173	1.64e-22	91.3	COG2091	H					Phosphopantetheinyl transferase
jgi|MicpuN3v2|312|wlab.247033.1	CDD:223087	27.525	505	318	13	205	696	3	472	4.86e-109	336	COG0008	J					Glutamyl- and glutaminyl-tRNA synthetases
jgi|MicpuN3v2|3132|wlab.4652.1	CDD:226304	25.329	304	173	8	1050	1346	9	265	7.96e-27	110	COG3781	S					Predicted membrane protein
jgi|MicpuN3v2|3135|wlab.4655.1	CDD:223434	29.524	105	58	6	160	258	58	152	5.15e-06	44.6	COG0357	M					Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
